ResponseId,survey_year,primary_affiliation,commute_miles,calculated_distance_mi,days_walk,days_bike,days_drive_alone,days_carpool,days_bus,days_other,weekly_trips,carpool_occupants,parking_location,cross_streets,university_residence,gender,ethnicity,lives_in_university_housing,enrollment_status,age,yearly_home_trips,vehicle_type,student_classification,campus_location,permanent_zipcode,parking_permit,home_travel_mode,latitude,longitude
R_3BTEpEOb4I70FuV,2024,Student,3.0,3.807561192934485,0,0,3,0,0,0,4,,Permit parking on campus,McDonald Ave and Clark St.,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,17-24,,Gas- sedan,Graduate Student,Mountain Campus (Main Campus),,Student: Full Year,,46.83968,-114.0369
R_5rneVSXhTcrCCvT,2024,Student,1.0,1.0243945673164248,0,5,0,0,0,0,5,,On-street parking close to campus that does not require a UM permit,6th and Roosevelt,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Part-time,17-24,,,Graduate Student,Missoula College,,,,46.86367,-114.00044
R_5wrPJhrmP8TY9BD,2024,Student,1.5,,0,0,0,0,2,0,2,,Do not drive to campus,,Lewis & Clark Villages,Female,Asian or Pacific Islander,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,40-49,11 or more,,Graduate Student,Mountain Campus (Main Campus),59601,,Car (alone),,
R_5ygcilJSEI5BKpz,2024,Student,15.0,,0,0,5,0,0,0,5,,Permit parking on campus,Highway 12 in Lolo,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,25-29,1-2,Gas- sedan,Senior,Mountain Campus (Main Campus),,Student: Full Year,Plane,,
R_5uBwc3iKYijc32n,2024,Faculty,8.0,7.332964313248358,0,0,5,0,0,0,5,,On-street parking close to campus that does not require a UM permit,Lower Miller Creek & Christian Drive,,Male,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,60+,,Diesel - truck,,Mountain Campus (Main Campus),,,,46.81419,-114.0785
R_5atbNJahh5AAM1r,2024,Student,0.07,,5,0,0,0,0,0,4,,Permit parking on campus,,Elliot Villages,Female,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,1-2,,Junior,Mountain Campus (Main Campus),59801,,Car (alone),,
R_1YrbNTRLmMRrLyy,2024,Staff,2.8,3.1169142574594355,0,0,3,0,0,0,4,,Permit parking on campus,Schilling St & Central Ave,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Part-time,30-39,,Gas - SUV,,Mountain Campus (Main Campus),,Faculty / Staff,,46.85063,-114.03209
R_5hNgSyTKLsEwS5f,2024,Student,55.0,,0,0,3,0,0,0,3,,Permit parking on campus,na,,Male,Black or African American,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,50-59,3-5,Gas - truck,Graduate Student,Missoula College,,Student: Half Year,Car (alone),,
R_3J7ZqPnxuvhfMWL,2024,Student,2.0,,0,7,0,0,0,0,7,,Do not drive to campus,S Russell Street and S 3rd Street W,,Male,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Part-time,50-59,3-5,,Graduate Student,Mountain Campus (Main Campus),,,Plane,,
R_7PveXUV7psFPES1,2024,Student,2.0,1.8813864700346805,0,0,7,0,0,0,7,,Permit parking on campus,6th and Ronan,,Prefer to not say,Native American or Alaskan Native,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,25-29,11 or more,Diesel - truck,Graduate Student,Mountain Campus (Main Campus),,Student: Full Year,Car (alone),46.86406,-114.01417
